Date,ticker,Close
2022-12-30,ADRO,1361.3519287109375
2023-01-02,ADRO,1358.05322265625
2023-01-03,ADRO,1331.572998046875
2023-01-04,ADRO,1248.349853515625
2023-01-05,ADRO,1172.6922607421875
2023-01-06,ADRO,1187.8236083984375
2023-01-09,ADRO,1146.212158203125
2023-01-10,ADRO,1187.8236083984375
2023-01-11,ADRO,1202.9552001953125
2023-01-12,ADRO,1168.909423828125
2023-01-13,ADRO,1187.8236083984375
2023-01-16,ADRO,1172.6922607421875
2023-01-17,ADRO,1187.8236083984375
2023-01-18,ADRO,1199.17236328125
2023-01-19,ADRO,1221.86962890625
2023-01-20,ADRO,1225.652587890625
2023-01-24,ADRO,1210.52099609375
2023-01-25,ADRO,1184.0408935546875
2023-01-26,ADRO,1138.646484375
2023-01-27,ADRO,1157.5606689453125
2023-01-30,ADRO,1138.646484375
2023-01-31,ADRO,1119.7320556640625
2023-02-01,ADRO,1115.94921875
2023-02-02,ADRO,1085.68603515625
2023-02-03,ADRO,1044.0743408203125
2023-02-06,ADRO,1051.6402587890625
2023-02-07,ADRO,1093.251953125
2023-02-08,ADRO,1104.6004638671875
2023-02-09,ADRO,1074.33740234375
2023-02-10,ADRO,1036.5086669921875
2023-02-13,ADRO,1051.6402587890625
2023-02-14,ADRO,1070.5546875
2023-02-15,ADRO,1115.94921875
2023-02-16,ADRO,1104.6004638671875
2023-02-17,ADRO,1089.4688720703125
2023-02-20,ADRO,1097.03466796875
2023-02-21,ADRO,1066.7716064453125
2023-02-22,ADRO,1078.1202392578125
2023-02-23,ADRO,1097.03466796875
2023-02-24,ADRO,1093.251953125
2023-02-27,ADRO,1115.94921875
2023-02-28,ADRO,1131.0806884765625
2023-03-01,ADRO,1131.0806884765625
2023-03-02,ADRO,1131.0806884765625
2023-03-03,ADRO,1142.42919921875
2023-03-06,ADRO,1100.8175048828125
2023-03-07,ADRO,1081.9031982421875
2023-03-08,ADRO,1104.6004638671875
2023-03-09,ADRO,1097.03466796875
2023-03-10,ADRO,1081.9031982421875
2023-03-13,ADRO,1097.03466796875
2023-03-14,ADRO,1047.8575439453125
2023-03-15,ADRO,1040.2916259765625
2023-03-16,ADRO,998.6799926757812
2023-03-17,ADRO,1051.6402587890625
2023-03-20,ADRO,1028.9429931640625
2023-03-21,ADRO,1032.7257080078125
2023-03-24,ADRO,1013.811279296875
2023-03-27,ADRO,1013.811279296875
2023-03-28,ADRO,1047.8575439453125
2023-03-29,ADRO,1089.4688720703125
2023-03-30,ADRO,1085.68603515625
2023-03-31,ADRO,1097.03466796875
2023-04-03,ADRO,1112.166259765625
2023-04-04,ADRO,1153.7779541015625
2023-04-05,ADRO,1157.5606689453125
2023-04-06,ADRO,1142.42919921875
2023-04-10,ADRO,1131.0806884765625
2023-04-11,ADRO,1153.7779541015625
2023-04-12,ADRO,1119.7320556640625
2023-04-13,ADRO,1119.7320556640625
2023-04-14,ADRO,1104.6004638671875
2023-04-17,ADRO,1081.9031982421875
2023-04-18,ADRO,1134.8636474609375
2023-04-26,ADRO,1172.6922607421875
2023-04-27,ADRO,1165.12646484375
2023-04-28,ADRO,1184.0408935546875
2023-05-02,ADRO,1127.2978515625
2023-05-03,ADRO,1112.166259765625
2023-05-04,ADRO,1104.6004638671875
2023-05-05,ADRO,1055.4229736328125
2023-05-08,ADRO,1085.68603515625
2023-05-09,ADRO,1093.251953125
2023-05-10,ADRO,1112.166259765625
2023-05-11,ADRO,1059.205810546875
2023-05-12,ADRO,1044.0743408203125
2023-05-15,ADRO,1006.2456665039062
2023-05-16,ADRO,1010.0285034179688
2023-05-17,ADRO,960.8510131835938
2023-05-19,ADRO,911.6737670898438
2023-05-22,ADRO,930.588134765625
2023-05-23,ADRO,960.268310546875
2023-05-24,ADRO,943.4949951171875
2023-05-25,ADRO,888.9820556640625
2023-05-26,ADRO,876.4020385742188
2023-05-29,ADRO,868.0153198242188
2023-05-30,ADRO,884.7886962890625
2023-05-31,ADRO,855.4354858398438
2023-06-05,ADRO,880.5953979492188
2023-06-06,ADRO,930.9151000976562
2023-06-07,ADRO,909.9486083984375
2023-06-08,ADRO,922.528564453125
2023-06-09,ADRO,918.335205078125
2023-06-12,ADRO,926.7218017578125
2023-06-13,ADRO,926.7218017578125
2023-06-14,ADRO,943.4949951171875
2023-06-15,ADRO,964.4615478515625
2023-06-16,ADRO,972.84814453125
2023-06-19,ADRO,947.6882934570312
2023-06-20,ADRO,951.8817749023438
2023-06-21,ADRO,947.6882934570312
2023-06-22,ADRO,947.6882934570312
2023-06-23,ADRO,935.1084594726562
2023-06-26,ADRO,926.7218017578125
2023-06-27,ADRO,935.1084594726562
2023-07-03,ADRO,977.04150390625
2023-07-04,ADRO,981.2348022460938
2023-07-05,ADRO,1014.7813720703125
2023-07-06,ADRO,1027.3614501953125
2023-07-07,ADRO,998.0081176757812
2023-07-10,ADRO,1014.7813720703125
2023-07-11,ADRO,1018.9747314453125
2023-07-12,ADRO,993.8148803710938
2023-07-13,ADRO,972.84814453125
2023-07-14,ADRO,989.6215209960938
2023-07-17,ADRO,998.0081176757812
2023-07-18,ADRO,977.04150390625
2023-07-20,ADRO,993.8148803710938
2023-07-21,ADRO,1014.7813720703125
2023-07-24,ADRO,1035.747802734375
2023-07-25,ADRO,1018.9747314453125
2023-07-26,ADRO,1048.327880859375
2023-07-27,ADRO,1027.3614501953125
2023-07-28,ADRO,1035.747802734375
2023-07-31,ADRO,1010.5880126953125
2023-08-01,ADRO,1002.2013549804688
2023-08-02,ADRO,993.8148803710938
2023-08-03,ADRO,989.6215209960938
2023-08-04,ADRO,1006.3946533203125
2023-08-07,ADRO,998.0081176757812
2023-08-08,ADRO,993.8148803710938
2023-08-09,ADRO,1006.3946533203125
2023-08-10,ADRO,1010.5880126953125
2023-08-11,ADRO,985.4281616210938
2023-08-14,ADRO,1002.2013549804688
2023-08-15,ADRO,1052.5211181640625
2023-08-16,ADRO,1056.714599609375
2023-08-18,ADRO,1065.10107421875
2023-08-21,ADRO,1098.6475830078125
2023-08-22,ADRO,1132.1939697265625
2023-08-23,ADRO,1132.1939697265625
